term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
314-06-08,sweep coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-08,تشغيل أحادي المسح,"Zeitablenkkoeffizient, m",sweep coefficient,coeficiente de barrido,pyyhkäisyvakio,"coefficient de balayage, m",coefficiente di deflessione,掃引係数,스위프 계수소인 계수,współczynnik czasu,coeficiente de varrimento,масштаб развертки,"коефицијент пребрисавања, м јд",tidskalefaktor,扫描系数
314-06-09,sweep rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-09,معامل المسح الضوئى,"Zeitablenkgeschwindigkeit, f",sweep rate,velocidad de barrido,pyyhkäisynopeus,"vitesse de balayage, f",velocità di scansione,掃引速度,스위프 속도소인 속도,szybkość rozciągu,velocidade de varrimento,скорость развертки,"брзина пребрисавања, ж јд",svephastighet,扫描速率
314-06-10,sweep expansion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-10,معدل المسح,"Dehnung der Zeitablenkung, f",sweep expansion,expansión del barrido,pyyhkäisy laajennus,"expansion du balayage, f",espansione  parziale della scansione,掃引拡大,스위프 확대소인 확대,ekspansja rozciągu,expansão do varrimento,расширение развертки,"проширење пребрисавања, с јд",svepexpansion,扫描扩展
314-06-11,synchronized sweep,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-11,توسيع المسح,"synchronisierte Zeitablenkung, f",synchronized sweep,barrido (libre) sincronizado,tahdistettu pyyhkäisy,"balayage (relaxé) synchronisé, m",deflessione sincronizzata,同期掃引,동기 스위프동기 소인,rozciąg synchronizowany,varrimento sincronizado,синхронизированная развертка,"синхронизовано пребрисавање, с јд",synkroniserat svep,同步扫描
314-06-12,triggered sweep,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-12,مسح متزامن,"getriggerte Zeitablenkung, f",triggered sweep,barrido por diaparo,liipaistu pyyhkäisy,"balayage déclenché, m",deflessione innescata,トリガ掃引,트리거 스위프트리거 소인,rozciąg wyzwalany,varrimento disparado,ждущая развертка,"окидно пребрисавање, с јд",triggat svep,触发扫描
314-06-13,internal triggering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-13,مسح ضوئي بقادح,"interne Triggerung, f",internal triggering,disparo interno,sisäinen liipaisu,"déclenchement interne, m",innesco interno,内部トリガ,내부 트리거,wyzwalanie wewnętrzne,disparo interno,внутренний запуск,"унутрашње окидање, с јд",intern triggning,内触发
314-06-14,internal synchronization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-14,قدح داخلي,"interne Synchronisierung, f",internal synchronization,sincronización interna,sisäinen tahdistus,"synchronisation interne, f",sincronizzazione interna,内部同期,내부 동기,synchronizacja wewnętrzna,sincronização interna,внутренняя синхронизация,"унутрашња синхронизација, ж јд",intern synkronisering,内同步
314-06-15,external triggering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-15,تزامن داخلي,"externe Triggerung, f",external triggering,disparo externo,ulkoinen liipaisu,"déclenchement externe, m",innesco esterno,外部トリガ,외부 트리거,wyzwalanie zewnętrzne,disparo externo,внешний запуск,"спољашње окидање, с јд",extern triggning,外触发
314-06-16,external synchronization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-16,قدح خارجي,"externe Synchronisierung, f",external synchronization,sincronización externa,ulkoinen tahdistus,"synchronisation externe, f",sincronizzazione esterna,外部同期,외부 동기,synchronizacja zewnętrzna,sincronização externa,внешняя синхронизация,"спољашња синхронизација, ж јд",extern synkronisering,外同步
314-06-17,time base jitter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-17,تزامن خارجي,"Jitter der Zeitbasis, m",time base jitter,inestabilidad de la base de tiempos,aikapoikkeutuksen värinä,"erratisme de la base de temps, m",instabilità della base dei tempi,時間軸ジッタ,시간축 지터,drżenie podstawy czasu,flutuação da base de tempo,дрожание генератора развертки,"подрхтавање временске базе, с јд",tidbasfladder,时基晃动
314-07-01,basic current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-01,تشوه استقبال للقاعدة الزمنية,"Basisstromstärke (eines Zählers), fBasisstrom (eines Zählers), m",basic current,intensidad de base,perusvirtanimellisvirta,"courant de base, m",corrente di base,基本電流,기본 전류,prąd bazowy,corrente de base,базовый ток,"основна струја, ж јд",basström,基本电流
314-07-02,rated current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-02,تيار أساسي,"Bemessungsstromstärke (eines Zählers), fBemessungsstrom (eines Zählers), m",rated current,intensidad asignada,mitoitusvirta,"courant assigné, m",corrente nominale,定格電流,정격 전류,prąd znamionowy,corrente estipulada,паспортный ток,"назначена струја, ж јд",märkström,额定电流
314-07-03,maximum current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-03,تيار مقنن,"Grenzstromstärke (eines Zählers), fGrenzstrom (eines Zählers), m",maximum current,intensidad máxima,suurin mittausvirta,"courant maximal, m",corrente massima,最大電流,최대 전류,prąd maksymalny,corrente máxima,максимальный ток,"максимална струја, ж јд",högsta mätström,最大电流
