term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
482-03-21,battery energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-21,طاقة البطارية,energie baterie,"Energie einer Batterie, f",battery energy,energía de una batería,akun energia,"énergie d’une batterie, f",energia di batteria,電池エネルギー,축전지 전력량축전지 에너지,energia użyteczna baterii,energia de uma bateria,"енергија батерије, ж јд",energiinnehåll,电池能量
482-03-22,volumic energy (for batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-22,طاقة الحجمية ( للبطارية),"objemová energie, <baterie>","Energiedichte (einer Batterie), f",volumic energy (for batteries),energía volúmica (de una batería),energiatiheys,"énergie volumique (d’une batterie), f",energia volumetrica,"体積比エネルギー, <電池の>","체적비 에너지, <축전지>",energia objętościowa (baterii),energia volúmica (de uma bateria),"запреминска енергија, <за батерије> ж јд",energi per volymenhet,电池体积比能量体积能量
482-03-23,discharge (of a battery),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-23,تفريغ (للبطارية ),vybíjení baterie,"Entladung (einer Batterie), f",discharge (of a battery),descarga (de una batería),purkaminen,"décharge (d’une batterie), f",scarica,"放電, <電池の>","방전, <축전지>배출, <축전지>토출, <축전지>",wyładowanie (baterii),descarga (de uma bateria),"пражњење, <батерије>с јд",urladdning,电池放电放电
482-03-24,discharge current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-24,تيار التفريغ,vybíjecí proud,"Entladestrom, m",discharge current,corriente de descarga,purkausvirta,"courant de décharge, m",corrente di scarica,放電電流,방전전류,prąd wyładowania,corrente de descarga,"струја пражњења, ж јд",urladdningsström,放电电流
482-03-25,discharge rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-25,معدل التفريغ,vybíjecí režim,"Entladestromstärke, f",discharge rate,régimen de descarga,purkausarvo,"régime de décharge, m",regime di scarica,放電率,방전율,prąd znamionowy wyładowania,regime de descarga,"стопа пражњења, ж јд",urladdningsström,放电率
482-03-26,short-circuit current (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-26,تيار قصر الدارة (للخلايا أو البطاريات ),"zkratový proud, <týká se článků nebo baterií>","Kurzschlussstrom (einer Zelle oder Batterie), m",short-circuit current (related to cells or batteries),corriente de cortocircuito (de un elemento o de una batería),oikosulkuvirta,"courant de court-circuit (d’un élément ou d’une batterie), m",corrente di cortocircuito,"短絡電流, <電池に関する>","단락 전류, <전지 또는 축전지>",prąd zwarciowy (ogniwa lub baterii),corrente de curtocircuito (de um elemento ou de uma bateria),"струја кратког споја, <односи се на ћелије или батерије> ж јд",kortslutningsström,"短路电流, <电池的>"
482-03-27,self-discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-27,تفريغ ذاتي,samovybíjení,"Selbstentladung, f",self-discharge,autodescarga,itsepurkaus,"auto-décharge, f",autoscarica,自己放電,자체 방전자기 방전,samowyładowanie,auto-descarga,"самопражњење, с јд",självurladdning,自放电
482-03-28,discharge voltage (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-28,جهد التفريغ (للخلايا أو البطاريات)، جهد الدائرة المغلقة,"vybíjecí napětí, <týká se článků nebo baterií>napětí uzavřeného obvoduNEVHODNÝ TERMÍN: napětí při zatížení","Entladespannung (einer Zelle oder Batterie), f",discharge voltage (related to cells or batteries)closed circuit voltageon load voltage  (deprecated),tensión de descarga (de un elemento o de una batería)tensión en circuito cerrado,purkausjännite,"tension de décharge (d'un élément ou d'une batterie), f",tensione di scarica,"放電電圧, <電池に関する>閉路電圧","방전 전압, <전지 또는 축전지 관련>",napięcie pod obciążeniem (ogniw lub baterii) napięcie obwodu zamkniętego (ogniw lub baterii),tensão de descarga (relativa a elementos ou baterias),"напон пражњења, <односи се на ћелије или батерије> м јднапон затвореног кола, м јдНАПУШТЕН: напон под оптерећењем, м јд",urladdningsspänning,"放电电压, <电池的>闭路电压负载电压, （拒用）"
482-03-29,initial discharge voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-29,جهد التفريغ الابتدائي ، جهد الدائرة المغلقة الابتدائي، جهد الحمل الابتدائي,počáteční vybíjecí napětípočáteční napětí uzavřeného obvoduNEVHODNÝ TERMÍN: počáteční napětí při zatížení,"Entladeanfangsspannung, f",initial discharge voltageinitial closed circuit voltageinitial on load voltage  (deprecated),tensión inicial de descargatensión inicial en circuito cerrado,alkupurkausjännite,"tension initiale en circuit fermé, f",tensione iniziale di scarica,初期放電電圧初期閉路電圧,초기 방전 전압,napięcie początkowe pod obciążeniem napięcie początkowe obwodu zamkniętego,tensão inicial de descarga,"почетни напон пражњења, м јдпочетни напон затвореног кола, м јдНАПУШТЕН: почетни напон под оптерећењем, м јд",initial urladdningsspänning,"初始放电电压初始闭路电压初始负载电压, （拒用）"
482-03-30,end-of-discharge voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-30,جهد نهاية التفريغ,konečné napětí,"Entladeschlussspannung, f",end-of-discharge voltagefinal voltagecut-off voltageend-point voltage,tensión final,loppujännite,"tension finale, ftension d'arrêt, f",tensione finale di scarica,放電終止電圧,말기 방전전압방전종지전압,napięcie końcowe napięcie wyłączenia,tensão final de descarga,"напон на крају пражњења, м јдкрајњи напон, м јд",slutspänning,终止电压
482-03-31,nominal voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-31,الجهد الأسمي,jmenovité napětí,"Nennspannung, f",nominal voltage,tensión nominal,nimellisjännite,"tension nominale, f",tensione nominale,公称電圧,공칭 전압,napięcie nominalne,tensão nominal,"називни напон, м јд",nominell spänning,标称电压
482-03-32,open-circuit voltage (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-32,جهد الدارة المفتوحة ( للخلايا أو البطاريات),"napětí naprázdno, <týká se článků nebo baterií>","Leerlaufspannung (einer Zelle oder Batterie), f",open-circuit voltage (related to cells or batteries),tensión en circuito abierto (de un elemento o de una batería),avoimen virtapiirin jännitelepojännite,"tension en circuit ouvert (d’un élement ou d’une batterie), f",tensione a circuito aperto,"開路電圧, <電池に関する>","개방회로, <전지 또는 축전지>",napięcie bez obciążenia (ogniw lub baterii) napięcie obwodu otwartego (ogniw lub baterii),tensão em circuito aberto (de um elemento ou de uma bateria),"напон отвореног кола, <односи се на ћелије или батерије> м јд",vilospänning,"开路电压, <电池的>"
482-03-33,temperature coefficient of the open-circuit voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-33,معامل درجة الحرارة لجهد الدارة المفتوحة,teplotní součinitel napětí naprázdno,"Temperaturkoeffizient der Leerlaufspannung, m",temperature coefficient of the open-circuit voltage,coeficiente de temperatura de la tensión en circuito abierto,avoimen virtapiirin jännitteen lämpötilakerroin,"coefficient de température de la tension en circuit ouvert, m",coefficiente di temperatura della tensione a circuito aperto,開路電圧の温度係数,개방 회로 전압 온도계수,współczynnik temperaturowy napięcia obwodu otwartego,coeficiente de temperatura da tensão em circuito aberto,"температурни коефицијент напона отвореног кола, м јд",temperaturkoefficient för vilospänning,开路电压温度系数
482-03-34,specific characteristic (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-34,خصائص نوعية ( للخلايا أو البطاريات ),"specifická charakteristika, <týká se článků nebo baterií>","bezogene Kenngröße (einer Zelle oder Batterie), f",specific characteristic (related to cells or batteries),característica específica (de un elemento o de una batería),ominaissuure,"caractéristique spécifique (d’un élément ou d’une batterie), f",caratteristica specifica,"比特性, <電池に関する>","특정 특성, <전지 또는 축전지>",parametr charakterystyczny (ogniw lub baterii),característica específica (de um elemento ou de uma bateria),"специфична карактеристика, <односи се на ћелије или батерије> ж јд",specifik karakteristik,"比特性, <电池的>"
